评测时间,评测游戏时长(小时),推荐与否,评测内容,有帮助数,系统予以的评测权重,steamid,此游戏总游玩时长(小时),拥有游戏数量
2025-02-20 19:59,79.2,推荐,"Wukong is an excellent game with some minor flaws.   The combat is great, soulslike without being so difficult that I want to bury my controller in the garden. The environments are incredible, and the plot is awesome.  I've clocked 80 hours over two months, which is made up of two full playthroughs and getting every single achievement, bar one minor thing (I'll get to that)   A couple of downsides; 1. And this is the only one that really bothered me - Invisible walls. As I said the level design is great and I want to explore every corner of it, so it really breaks the immersion when I want to go in one direction only to be stopped by an unforeseen barrier.  2. NG+ felt a bit like NG- - I flew through it the second time through beating bosses first try that would have previously taken me 10 attempts  3. This one is probably a more broader issue for completionists in these sort of games. Boring, grindy achievements. After travelling many distant lands, making friends and foes, and fighting a court of gods. I find myself unable to pop the platinum because I can't find one seed. My gameplay will end with me hopping on every hour or so, once the plants have replenished just to hope the RNG gods will let have a fire date seed.   All that said, no game is perfect, and Wukong is one of the best games I've played in a long time, I'd recommend it to anyone.",165,0.923606514930725098,76561198077709601,79.3,56
2024-09-28 07:55,104.7,推荐,"[h1]Genre: Action-Adventure/Mythology[/h1]  This game is based on the novel Journey to the West. Sun Wukong is the main protagonist of that journey, and I would advise watching some summary before playing the game, to understand how insane he is and what he did. He was also an inspiration for Goku.   I didn't tag this game as Souls-like because I don't think it is. When you die, you don't lose ""souls"". Lore is way more detailed and not as hidden as in Souls games where you need to read item descriptions and listen to NPCs. Here most of the lore is found by just killing new enemies which unlock new entry in the journal. There are no stats like strength, dexterity etc. instead you have skill trees with so many things to upgrade. Also if you explore everything this game will be easier than Souls games most of the time. Black Myth: Wukong is the game on its own, the epic game for itself.  The first thing you can notice when you start this game is that in only a few seconds you are greeted by some colossal beings. I was amazed as soon as the game started, and the prologue itself is absolutely incredible. Slight spoiler, but in prologue you play as Sun Wukong, and after that game is divided into 6 chapters, where you are playing as Destined One years later trying to ""wake up"" Sun Wukong. Every time you kill a new enemy you will get some journal entry, which is a short story which has references to the Chinese folklore or Journey to the West, and reading these stories is necessary to understand the story. Sometimes I had to google, because the names were not explained. These stories are also usually very interesting, but there are so many of them so I would advise on reading them as soon as you get them, cause they can pile up. There are around 200 in total and some of them are connected where story continues from one entry to another.  The story itself is pretty interesting, and there are a lot of amazing cutscenes. Each of the first 5 chapters features a new story set in some new world. Each of these chapters has some main ""villain"" that you need to beat to get the rune.  When I first started playing this game, after overwhelming prologue, chapter 1 felt a bit rushed and kinda underwhelming, because if you don't read those journal entries the whole chapter will feel like the boss rush, but after some time I started liking it. Chapter 2 is definitely way bigger and opens way more, however it's a big desert, so it can get tiring. Chapter 3 is where things got very interesting and very confusing, because it is so big, and it branches so much. At first it felt okay, but then I reached a big forest with snow everywhere, and everything looked similar, you could go anywhere, like in 15 directions. Thankfully with those journal entries you can see if you missed something. And when I was done with this forest there was some temple area, which as well was really really big, and had so much going on, that the whole chapter was very confusing, even though it was very interesting story-wise. It is also the longest chapter in the game. Chapter 4 is also very long and it is probably one of the best when it comes to story, but it is a bit gloomy. Chapter 5 was kinda short, and it was mostly fighting bosses, but it was as well a pretty interesting chapter with interesting story line. Chapter 6 is very different from all other chapters, you are just going around and searching for some bosses, trying to find some items before fighting the final boss.  The first 5 chapters also feature secret areas which I would advise beating, since most of the time they will make the end boss of the chapter much easier with some new item that you got, and they are also very interesting. The game also features 2 endings, and to get true ending you will need to beat all these secret areas.  Throughout the game there are so many bosses and mini-bosses to beat, I think I have beaten over 100 of them, but I definitely beat them all since I got all journal entries in the game. Most of these bosses took me few tries most, and a lot of them can actually be considered mini-bosses, and those mini-bosses sometimes leave spirits which you can collect and summon later while fighting. It can be a bit overwhelming to fight bosses all the time, but eventually I got used to it, and since I mostly beat them all on first or second try, it felt like fighting regular enemies eventually. The problem with fighting so many bosses is that rarely any boss will be memorable. If you explore everything and you are ""good"" at Souls games you will not have problems with this game. Only one boss in this game which is necessary to beat to get true ending took me a lot of tries, I think I needed a few hours. Boss is so epic and hard, and in my personal experience it's 2nd hardest boss from all bosses I've ever fought including all Souls games.  Combat is just incredible, it's so fun, one of the best I have seen. Destined One is wielding staff so fast, and he is so fast that you can just dodge anything and you need to dodge all the time. You also need to make the best use of spells that you get through the game. One spell will let you freeze the enemy for few seconds. One spell will make duplicates of you for few seconds which help you fight. I mentioned already that you will be able to call spirits, and you will also be able to transform. Transformations regenerate over time, as well as spirits (when you fight you get KI which regenerates spirits), but spells cost mana, and until you rest again at shrine you will not get mana back, so prepare to become good with your staff. Overall combat is just amazing, incredibly fun.  In addition to combat, there are shrines on which you can rest, fast travel etc., and while fighting you earn skill points which you can use to upgrade your abilities. You can also restart these abilities at any point on any shrine. You can travel from chapter to chapter at any point in the story. You can also craft armor and staff that you get from fighting bosses, and use some items to help you make game easier.  Game took me around ~65h to beat all bosses, get all journal entries and get most of the achievements. You can't get all achievements in the first run, so you must play ng+ for the rest of them, however ng+ is pretty easy. Only problem is that some achievements require farming. There aren't many NPCs side quests, but there a lot of characters. Performance wise a lot of people complain, and I also had issues which I fixed by using FSR instead of DLSS and frame generation on. I managed to get my game running completelly smooth, stutter free, but I had insane stutter at first.  [h1]Pros:[/h1] - One of the best openings in the games I've ever seen - Incredibly fun combat - Journal entries are so interesting - Cutscenes are amazing - Most bosses are unique, and there are many good bosses - Pretty good story and everything about Sun Wukong is so interesting  [h1]Neutral:[/h1] - Chapter 3 can be a bit confusing to explore, it can feel like it's easy to miss stuff, but it's also really interesting  [h1]Cons:[/h1] - Chapter 6 introduces new ability, but it also feels so random, just searching for bosses  [h1]Verdict:[/h1] Just an incredible game, my personal GOTY of the 2024 so far, and of the best and most fun games I've ever played. I liked it so much that I ordered The Journey to the West books and this is definitely one of my new favorite games.  [i]Note: This explains how I rate games in my reviews. https://imgur.com/s7VB3Vj[/i]  [h1]Personal rating: 9/10[/h1]",350,0.922192156314849854,76561198136847009,104.7,450
2025-02-21 17:20,12.1,推荐,i monkey? - yes I have big beating bow staff? - yes die 36 times to big blue baby? - yes realize thats not boss? - yes die to first boss - yes should be way farther with amount played - yes realize i bad at game - yes play anyway because monkey game 10/10 - yes,387,0.881810367107391357,76561198130445665,12.1,0
2024-10-06 16:14,54.5,推荐,"Imagine coming home after a long 9-to-5, ready to unwind, and Steam download of this game is finished. You said, ""I’ve never played a Souls-like game before—how hard can it be? It can't be that bad, right?""  Wrong.  This game delivers a masterclass in getting your ass whooped. Expect zero handholding—no map, no mission tracker, and constant threat of getting ganged up by random yaoguais. And just when you think you're getting the hang of it, you find out that farming licorice can randomly drop… a goat skull. Yeah, wrap your head around that one.  It's like dating a dominatrix. It's stunning—seriously, the visuals are gorgeous—but it’s going to torment you.  Despite being a first-timer in this genre, getting wrecked repeatedly, I found myself oddly committed—to the challenge, to its captivating lore, to the game itself. I laughed, I cried, I raged, and I teetered on the brink of uninstalling this game more times than I can count.  But after countless gruelling hours, unlocking the secret ending, rerunning New Game+, I finally got that Final Fulfillment achievement. Now, at long last, I can uninstall this tormenting masterpiece with peace...",236,0.880032837390899658,76561199560315104,57.4,65
2024-10-25 14:28,54.4,推荐,"This game in my opinion should be game of the year. Healing can be a bit unresponsive as it does not delay the input if you get knocked down and try to take a quick swig while getting back up but once you get past that it's a really amazing game. Great story and a world inspired by Chinese mythology and The Journey to the West. I really liked the perfect dodge system and the ability to change my build at any resting point to really let me try everything out. I fought every boss, meditated in every location, and met all the characters for the journal and I enjoyed the entire experience. Baije was amazing and really added a lot to the Destined One's journey; I think his last few lines of dialogue in the game was my favorite part. It is not as challenging as FROM software titles but to me it played a lot like Elden Ring with its own unique style and I had a lot of fun with it. I am looking forward to any DLC news for this game in the future. A rare 10/10 experience.",174,0.875927448272705078,76561198042558555,54.4,0
2025-01-06 23:16,57.9,推荐,---{ Graphics }--- ☑ You forget what reality is ☐ Beautiful ☐ Good ☐ Decent ☐ Bad ☐ Don‘t look too long at it ☐ MS-DOS  ---{ Gameplay }--- ☐ Very good ☑ Good ☐ It's just gameplay ☐ Mehh ☐ Watch paint dry instead ☐ Just don't  ---{ Audio }--- ☑ Eargasm ☐ Very good ☐ Good ☐ Not too bad ☐ Bad ☐ I'm now deaf  ---{ Audience }--- ☑ Kids ☑ Teens ☑ Adults ☐ Grandma  ---{ Game Size }--- ☐ Floppy Disk ☐ Old Fashioned ☐ Workable ☑ Big ☐ Will eat 10% of your 1TB hard drive ☐ You will want an entire hard drive to hold it ☐ You will need to invest in a black hole to hold all the data  ---{ Difficulty }--- ☐ Just press 'W' ☐ Easy ☐ Easy to learn / Hard to master ☐ Significant brain usage ☑ Difficult ☐ Dark Souls  ---{ Grind }--- ☐ Nothing to grind ☐ Only if u care about leaderboards/ranks ☑ Isn't necessary to progress ☐ Average grind level ☐ Too much grind ☐ You'll need a second life for grinding  ---{ Story }--- ☐ No Story ☐ Some lore ☐ Average ☐ Good ☐ Lovely ☑ It'll replace your life  ---{ Game Time }--- ☐ Long enough for a cup of coffee ☐ Short ☐ Average ☑ Long ☐ To infinity and beyond  ---{ Price }--- ☐ It's free! ☑ Worth the price ☐ If it's on sale ☐ If u have some spare money left ☐ Not recommended ☐ You could also just burn your money  ---{ Bugs }--- ☐ Never heard of ☑ Minor bugs ☐ Can get annoying ☐ ARK: Survival Evolved ☐ The game itself is a big terrarium for bugs  ---{ ? / 10 }--- ☐ 1 ☐ 2 ☐ 3 ☐ 4 ☐ 5 ☐ 6 ☐ 7 ☐ 8 ☐ 9 ☑ 10,728,0.875790953636169434,76561199571798176,61.1,0
2024-11-16 18:34,64.3,推荐,---{ Graphics }--- 🔲 Awful 🔲 Bad 🔲 Will do 🔲 Decent (Nothing special) ✅ Stunning 🔲  Visual Masterpiece  ---{ Gameplay }--- 🔲 Bad 🔲 Okay 🔲 Nothing special 🔲 Good ✅ Very good 🔲 Try not to get addicted  ---{ Audio }--- 🔲 Bad 🔲 Not too bad 🔲 Decent 🔲 Good 🔲 Beautiful ✅ Masterpiece  ---{ PC Requirements }--- 🔲 Potato 🔲 Decent 🔲 Fast ✅ High-end PC 🔲 Ask NASA if they have a spare computer  ---{ Difficulty }--- 🔲 Just press a bunch of buttons 🔲 Easy ✅ Significant brain usage 🔲 Easy to learn / Hard to master 🔲 Difficult 🔲 Dark Souls  ---{ Grind }--- 🔲 Nothing to grind ✅ Only if you care about 100% ✅ Average grind level 🔲 Too much grind 🔲 Insanity  ---{ Story }--- 🔲 None/Not important in this game 🔲 Bad 🔲 Average 🔲 Great ✅ Well written 🔲 One of the best i've had the pleasure of playing  ---{ Price }--- 🔲 Free ✅ Worth the price 🔲 If it's on sale 🔲 Acceptable price 🔲 Overpriced 🔲 Complete waste of money  ---{ Bugs }--- 🔲 Never heard of ✅ Minor bugs 🔲 Can get annoying 🔲 The game itself is a big terrarium for bugs  ---{ Game Time }--- 🔲 Very Short (0-5 hours) 🔲 Short  (5-10 hours) 🔲 Average  (10-30 hours) ✅ Long  (30-50 hours) 🔲 Extremely long  (50-100+ hours) ✅ Replayability   (Infinity hours+)  ---{ ? / 10 }--- 🔲 1 🔲 2 🔲 3 🔲 4 🔲 5 🔲 6 🔲 7 🔲 8 ✅ 9 🔲 10,2052,0.924590885639190674,76561199797261846,72.8,7
2025-01-12 23:09,67.9,推荐,game-play-10/10 story-9.5/10 world-9.5/10 music/soundtracks 10/10 overall 9.8/10  graphics 9.5/10  amazing,67,0.818448722362518311,76561198059451354,68.0,84
2025-02-17 02:23,203.9,推荐,"if youre on the edge about buying, just know this game is worth every penny of full price. This game brought me back to daily gaming and resparked my joy. Seriously buy it now. Its amazing. Its gorgeous, it pushes my 4070 hard, and its plenty challenging ( though iam far from the best gamer ). I have 204 hours into the game so far.",77,0.812296211719512939,76561198300035711,217.8,25
2024-10-11 09:08,123.1,推荐,---{ Graphics }--- ☑ You forget what reality is ☐ Beautiful ☐ Good ☐ Decent ☐ Bad ☐ Don‘t look too long at it ☐ MS-DOS  ---{ Gameplay }--- ☑ Very good ☐ Good ☐ It's just gameplay ☐ Mehh ☐ Watch paint dry instead ☐ Just don't  ---{ Audio }--- ☐ Eargasm ☑ Very good ☐ Good ☐ Not too bad ☐ Bad ☐ I'm now deaf  ---{ Audience }--- ☐ Kids ☑ Teens ☑ Adults ☐ Grandma  ---{ PC Requirements }--- ☐ Check if you can run paint ☐ Potato ☐ Decent ☐ Fast ☑ Rich boi ☐ Ask NASA if they have a spare computer  ---{ Game Size }--- ☐ Floppy Disk ☐ Old Fashioned ☐ Workable ☐ Big ☑ Will eat 10% of your 1TB hard drive ☐ You will want an entire hard drive to hold it ☐ You will need to invest in a black hole to hold all the data  ---{ Difficulty }--- ☐ Just press 'W' ☐ Easy ☐ Easy to learn / Hard to master ☐ Significant brain usage ☐ Difficult ☑ Dark Souls  ---{ Grind }--- ☐ Nothing to grind ☐ Only if u care about leaderboards/ranks ☐ Isn't necessary to progress ☑ Average grind level ☐ Too much grind ☐ You'll need a second life for grinding  ---{ Story }--- ☐ No Story ☐ Some lore ☐ Average ☐ Good ☑ Lovely ☐ It'll replace your life  ---{ Game Time }--- ☐ Long enough for a cup of coffee ☐ Short ☑ Average ☐ Long ☐ To infinity and beyond  ---{ Price }--- ☐ It's free! ☑ Worth the price ☐ If it's on sale ☐ If u have some spare money left ☐ Not recommended ☐ You could also just burn your money  ---{ Bugs }--- ☐ Never heard of ☑ Minor bugs ☐ Can get annoying ☐ ARK: Survival Evolved ☐ The game itself is a big terrarium for bugs  ---{ ? / 10 }--- ☐ 1 ☐ 2 ☐ 3 ☐ 4 ☐ 5 ☐ 6 ☐ 7 ☐ 8 ☐ 9 ☑ 10  ---{ Author }--- ☑ https://vojtastruhar.github.io/steam-review-template,180,0.81194770336151123,76561198110376655,123.1,817
